year,month,day,hour,use,temp,humid
2017,1,5,16,133.2049002467862,10.4,54.0
2017,1,5,17,131.57565229427343,9.7,58.0
2017,1,5,18,132.57232424660978,9.6,56.0
2017,1,5,19,132.30941226620482,9.0,59.0
2017,1,5,20,131.28660099230018,9.0,61.0
2017,1,5,21,131.22828263607113,9.1,61.0
2017,1,5,22,131.2404349629629,8.4,67.0
2017,1,5,23,131.31229186406676,7.9,72.0
2017,1,5,24,119.7747377362494,7.3,79.0
2017,1,6,1,69.70370362234156,7.1,79.0
2017,1,6,2,69.27176362161346,6.5,85.0
2017,1,6,3,69.33403187067701,6.2,86.0
2017,1,6,4,69.39675077865455,6.1,83.0
2017,1,6,5,69.35838402037552,6.3,79.0
2017,1,6,6,69.59584481770102,6.2,78.0
2017,1,6,7,69.7807905968714,6.2,77.0
2017,1,6,8,70.17042278293528,6.1,77.0
2017,1,6,9,74.13558831546864,5.8,78.0
2017,1,6,10,85.84963505415038,7.7,67.0
2017,1,6,11,96.62137830389032,8.9,58.0
2017,1,6,12,104.68892948548975,10.5,51.0
2017,1,6,13,107.62596530619959,11.9,48.0
2017,1,6,14,106.19535962926314,12.5,46.0
2017,1,6,15,100.29939789382952,12.8,46.0
2017,1,6,16,88.48734057324558,12.9,44.0
2017,1,6,17,76.65512731182166,12.1,46.0
2017,1,6,18,72.07726889457989,10.7,52.0
2017,1,6,19,83.4469083946852,9.7,60.0
2017,1,6,20,134.65633564382128,8.6,61.0
2017,1,6,21,134.83088644495325,8.0,62.0
2017,1,6,22,134.15670181416303,7.1,67.0
2017,1,6,23,133.96569864900152,6.2,71.0
2017,1,6,24,134.0128145966379,5.5,74.0
2017,1,7,1,134.16694104978262,5.1,76.0
2017,1,7,2,134.4379162901685,4.2,83.0
2017,1,7,3,134.68809052891598,3.9,83.0
2017,1,7,4,134.7561201429193,3.1,89.0
2017,1,7,5,134.68211046185615,2.1,92.0
2017,1,7,6,134.58977950773775,2.7,91.0
2017,1,7,7,134.5581185099168,2.9,88.0
2017,1,7,8,134.7919276445715,2.5,89.0
2017,1,7,9,138.56472036230278,3.6,86.0
2017,1,7,10,150.92912203714073,5.0,76.0
2017,1,7,11,161.52292128921977,6.6,69.0
2017,1,7,12,167.7624287094236,7.6,63.0
2017,1,7,13,168.62222074852514,9.0,59.0
2017,1,7,14,166.0776646596642,9.5,58.0
2017,1,7,15,160.26940357891885,9.7,55.0
2017,1,7,16,149.36155360525728,9.8,57.0
2017,1,7,17,137.3508893548942,9.0,62.0
2017,1,7,18,133.3046041132844,8.8,61.0
2017,1,7,19,134.58175159355403,8.6,62.0
2017,1,7,20,134.89499930280695,8.7,60.0
2017,1,7,21,134.34410854446182,8.5,61.0
